ID,이름,등급,공격력,체력,쿨타임,액티브,패시브1,패시브2,패시브3,패시브4
1001,망이,C,3%,3%,8,적에게 공격력의 100% 데미지,,,,
1002,마녀 슬라임,C,3%,3%,9,두두 공격력 2턴간 10% 증가,,,,
1003,블루밍 슬라임,C,3%,3%,8,3턴간 매 턴 최대체력의 4% 재생,,,,
1004,모래 슬라임,C,3%,3%,9,두두에게 최대체력의 8% 보호막을 부여,,,,
2001,플라워 망이,B,5%,5%,8,두두 공격력 2턴간 20% 증가,[액티브] 발동 중 5콤보 달성 시 공격력 추가 10% 증가 (1턴),,,
2002,전사 망이,B,5%,5%,7,두두 크리 확률 2턴간 10% + 크리 데미지 15% 증가,[액티브] 발동 중 5콤보 달성 시 크리 데미지 추가 10% 증가 (1턴),,,
2003,고대 슬라임,B,5%,5%,7,2턴간 매 턴 최대체력의 5% 재생,두두 피격 시 최대체력의 3% 즉시 회복 (턴당 1회),,,
2004,네이쳐 스피릿,B,5%,5%,8,두두에게 최대체력의 15% 보호막 + 방패 1개 부여 (2턴),매 3턴 시작 시 보호막이 없으면 최대체력의 5% 보호막 부여,,,
2005,숲의 정령,B,5%,5%,7,적에게 따가움 2스택 부여 (2턴),전투 시작 시 적에게 따가움 1스택 부여 (2턴),,,
2006,설원 정령,B,5%,5%,7,적에게 어지러움 2스택 부여 (2턴),두두 피격 시 적에게 어지러움 1스택 부여 (턴당 1회),,,
2007,마녀 버섯,B,5%,5%,8,적에게 저체온 2스택 부여 (2턴),두두 피격 시 적에게 저체온 1스택 부여 (턴당 1회),,,
2008,약탈 정령,B,5%,5%,7,두두의 상태이상 1개 해제 + 최대체력의 8% 즉시 회복,해제 성공 시 두두에게 최대체력의 5% 보호막 부여,,,
3001,아르마딩고,A,8%,8%,8,2턴간 랜덤 가로 1줄에 +2 부적,가로 3회 체크 시 [액티브] 쿨타임 1 감소,5콤보 이상이면 [액티브] 지속턴 +1,,
3002,비단 거미,A,8%,8%,6,2턴간 랜덤 세로 1줄에 +2 부적,세로 3회 체크 시 [액티브] 쿨타임 1 감소,5콤보 이상이면 [액티브] 지속턴 +1,,
3003,설원 임프,A,8%,8%,7,2턴간 조커 심볼 1개 등장,조커 심볼이 체크되면 적에게 저체온 1스택 부여,조커 심볼이 체크되면 [액티브] 쿨타임 1 감소 (턴당 1회),,
3004,타락 정령,A,8%,8%,7,적에게 따가움 2스택 부여 (2턴),매 3턴 시작 시 적에게 따가움 1스택 부여 (2턴),[액티브] 사용 시 두두 공격력 2턴간 15% 증가,,
3005,꽃의 정령,A,8%,8%,7,두두의 상태이상 1개 해제 + 2턴간 매 턴 5% 재생,해제 시 두두에게 최대체력의 8% 보호막 부여,두두 체력 50% 이하이면 [액티브] 쿨타임 1 감소,,
3006,고대 늑대,A,8%,8%,7,적에게 어지러움 2스택 부여 (2턴),두두 피격 시 적에게 어지러움 1스택 부여 (턴당 1회),[액티브] 사용 시 두두에게 방패 1개 부여,,
3007,듄 마스터,A,8%,8%,7,적에게 저체온 2스택 부여 (2턴),적이 빙결 상태이면 [액티브] 쿨타임 1 감소,[액티브] 사용 시 두두에게 최대체력의 8% 보호막,,
3008,주민형 망이,A,8%,8%,8,2턴간 등장 확률 높은 2속성의 반반 심볼 1개 등장,반반 심볼이 체크되면 [액티브] 쿨타임 1 감소 (턴당 1회),[액티브] 사용 시 나머지 2속성 확률 30% 감소,,
4001,꽃담비,S,15%,15%,7,3턴간 가로+세로 각 1줄에 +3 부적,전투 시작 시 2턴간 랜덤 세로 1줄에 +2 부적 부여,[액티브] 발동 중 체크 5회 이상이면 랜덤 심볼 1개에 x2룬 부여,7콤보 이상이면 [액티브] 쿨타임 1 감소,
4002,블루혼,S,15%,15%,8,2턴간 조커 심볼 2개 등장,조커 심볼이 체크되면 적에게 저체온 1스택 부여,조커 심볼이 체크되면 [액티브] 쿨타임 1 감소 (턴당 1회),7라운드 이후 [액티브] 조커 +1개 추가 등장,
4003,듄 그리폰,S,15%,15%,7,2턴간 공격력 20% + 크리 데미지 30% 증가,[액티브] 발동 중 5콤보 달성 시 공격력 추가 10% 증가 (1턴),[액티브] 발동 중 3콤보 달성 시 크리 데미지 추가 10% 증가 (1턴),7라운드 이후 [액티브] 지속턴 +1,
4004,가시 망이,S,15%,15%,7,적에게 따가움 2스택 부여 (3턴),매 3턴 시작 시 적에게 따가움 1스택 부여 (2턴),[액티브] 사용 시 적에게 화상이 걸려있으면 따가움 1스택 추가 부여,따가움 3스택 이상이면 [액티브] 쿨타임 1 감소,
4005,마녀의 조형물,S,15%,15%,6,두두의 모든 상태이상 해제 + 3턴간 매 턴 8% 재생,해제 시 두두에게 최대체력의 10% 보호막 부여,[액티브] 재생 중 두두 피격 시 재생 지속턴 +1,두두 체력 40% 이하이면 [액티브] 쿨타임 2 감소,
4006,눈릴라,S,15%,15%,7,두두에게 3턴간 분노 상태 부여. 피격 시마다 분노 1스택 축적,내 턴 시작 시 분노 전부 소모 → 스택당 두두 공격력 10% 증가 (해당 턴),분노 2스택 이상 소모 시 적에게 따가움 1스택 부여,분노 상태 중 피격 시 두두에게 최대체력 5% 보호막 부여,
4007,도살자,S,15%,15%,7,적에게 어지러움 2스택 + 저체온 2스택 부여 (3턴),두두 피격 시 적에게 어지러움 1스택 부여 (턴당 1회),[액티브] 사용 시 두두에게 방패 1개 부여,적이 빙결 상태이면 [액티브] 쿨타임 2 감소,
4008,고대 거북,S,15%,15%,7,2턴간 등장 확률 높은 2속성의 반반 심볼 1개 등장,[액티브] 사용 시 나머지 2속성 확률 절반 감소,반반 심볼이 체크되면 [액티브] 쿨타임 1 감소 (턴당 1회),두두 체력 40% 이하이면 [액티브] 쿨타임 1 감소,
5001,리프 버드,SS,25%,25%,7,3턴간 가로 1줄 + 세로 1줄에 +3 부적 부여 + 랜덤 심볼 1개에 x2룬,전투 시작 시 2턴간 랜덤한 세로 1줄에 +3 부적 부여,10콤보 이상이면 쿨타임이 1 감소,7라운드 이후 [액티브] 부적 +3 → +4로 강화,[액티브] 발동 중 체크 5회 이상이면 x2룬 1개 추가 부여
5002,대나무 담비,SS,25%,25%,7,2턴간 조커 심볼 3개 등장,조커 심볼이 체크되면 적에게 저체온 1스택 부여,조커 심볼이 체크되면 [액티브] 쿨타임 1 감소 (턴당 1회),7라운드 이후 [액티브] 조커 +1개 추가 등장,조커 심볼이 체크되면 다음 스핀에 조커 1개 추가 등장 (턴당 1회)
5003,아라크네,SS,25%,25%,7,2턴간 두두 치명율 25% + 크리 데미지 50% 증가,[액티브] 발동 중 7콤보 달성 시 공격력 추가 15% 증가 (1턴),[액티브] 발동 중 3콤보 달성 시 크리 데미지 추가 10% 증가 (1턴),7라운드 이후 [액티브] 지속 턴수 +1,[액티브] 발동 중 7콤보 달성 시 크리티컬 확률 20% 추가 증가 (1턴)
5004,데저트 클로,SS,25%,25%,6,적에게 따가움 2스택 부여 (3턴),매 3턴 시작 시 적에게 따가움 1스택 2턴 부여,[액티브] 사용 시 적에게 화상이 걸려있으면 화상의 지속 턴수 +1,따가움 3스택 이상이면 [액티브] 쿨타임 1 감소,[액티브] 사용 시 적의 모든 따가움 지속턴 +1
5005,깨달은 자,SS,25%,25%,7,두두의 모든 상태이상 해제 + 최대체력의 40% 회복,상태이상 해제 시 두두에게 최대체력 10% 보호막 부여,두두 체력 40% 이하이면 [액티브] 쿨타임 2 감소,액티브 스킬 사용 시 최대체력의 8% x 3턴의 재생 추가,해제 3회 누적 시 두두에게 방패 2개 부여
